id,name,short,year,last_year,country,sector,sector_note,technology,direction,stage,implementation,plaintiff,tags,summary,limit,sources,alternative_sector,restoration_note,cohort,habeas_vehicle,system_group,included_by_default,data_failure,holding_scope,actual_computer_fault,data_status,citation,computer_fault_note,proposed_model,actual_equipment_failure,electronic_filing_issue,computer_issue_scope
thomas,Thomas v. Winchester,Thomas,1852,1852,US,Private,The challenged product or information service is privately operated.,Physical,Favorable,Damages judgment,Not established in sources,Human,"[""Evidence and data"", ""Classification"", ""Remedy access""]",The injured woman and her husband obtained an affirmed judgment against the remote supplier after falsely labeled poisonous medicine passed through several sellers.,An affirmed judgment does not prove payment; this historical duty rule retained restrictions for other products.,"[{""label"": ""Primary decision"", ""url"": ""https://www.nycourts.gov/reporter/archives/thomas_winchester.htm""}]",,"No source in this reviewed set establishes completed payment, delivered services, physical release, or institutional compliance after this decision.",original,,thomas,True,,,,,,,,,,
yick_wo,Yick Wo v. Hopkins,Yick Wo,1886,1886,US,Public,The challenged consequential process is controlled by a public institution.,Administrative,Favorable,Merits or injunction,Not established in sources,Human,"[""Classification"", ""Authority and rules"", ""Incentives and independence""]",The Supreme Court reversed the habeas judgments and directed discharge of petitioners imprisoned through discriminatory administration of an otherwise facially neutral municipal laundry-permit rule.,The judicial discharge direction is verified; execution of physical release is not separately established by the sources reviewed here.,"[{""label"": ""Primary decision"", ""url"": ""https://supreme.justia.com/cases/federal/us/118/356/""}]",,"No source in this reviewed set establishes completed payment, delivered services, physical release, or institutional compliance after this decision.",original,State habeas petitions challenging imprisonment under discriminatory municipal licensing; US Supreme Court review.,yick_wo,True,,,,,,,,,,
macpherson,MacPherson v. Buick Motor Co.,MacPherson,1916,1916,US,Private,The challenged product or information service is privately operated.,Physical,Favorable,Damages judgment,Not established in sources,Human,"[""Design and components"", ""Evidence and data"", ""Remedy access""]","The injured driver obtained an affirmed judgment against the manufacturer, whose purchased wheel component required reasonable inspection despite the absence of direct purchaser privity.",Negligence and causation mattered; the ruling did not impose strict liability for every malfunction or prove payment.,"[{""label"": ""Primary decision"", ""url"": ""https://www.nycourts.gov/reporter/archives/macpherson_buick.htm""}]",,"No source in this reviewed set establishes completed payment, delivered services, physical release, or institutional compliance after this decision.",original,,macpherson,True,,,,,,,,,,
ng-fung-ho-1922,"Ng Fung Ho v. White, 259 U.S. 276",Ng Fung Ho,1922,1922,US,Public,Federal immigration custody and disputed citizenship classification.,Administrative,Mixed,Mixed disposition,Not established in sources,Represented humans,"[""Classification"", ""Authority and rules"", ""Remedy access""]",Two citizenship claimants won judicial determination; two other petitioners lost.,Citizenship and release were not established by this judgment.,"[{""label"": ""Supreme Court opinion (1922), pp. 278–85"", ""url"": ""https://supreme.justia.com/cases/federal/us/259/276/""}]",,Remand for citizenship trial for two petitioners; no immediate discharge ordered for them.,added,Federal habeas challenging immigration custody under deportation warrants.,ng-fung-ho-1922,True,Disputed status classification supported by evidence requiring judicial determination; no established digital corruption.,Judicial testing of citizenship supporting a challenge to executive deportation authority.,False,Disputed citizenship classification; qualifying evidence entitled two petitioners to judicial determination.,,,,,,
tumey,Tumey v. Ohio,Tumey,1927,1927,US,Public,The challenged consequential process is controlled by a public institution.,Administrative,Favorable,Merits or injunction,Not established in sources,Human,"[""Incentives and independence"", ""Authority and rules"", ""Notice and hearing""]",The Supreme Court reversed a conviction because the mayor-judge’s financial interests created a constitutionally disqualifying adjudicatory arrangement connected to convictions and municipal revenue.,The specific financial structure mattered; this decision does not prove that every agency grant or budget creates unconstitutional bias.,"[{""label"": ""Primary decision"", ""url"": ""https://supreme.justia.com/cases/federal/us/273/510/""}]",,"No source in this reviewed set establishes completed payment, delivered services, physical release, or institutional compliance after this decision.",original,,tumey,True,,,,,,,,,,
tj_hooper,The T.J. Hooper,T.J. Hooper,1932,1932,US,Private,The challenged product or information service is privately operated.,Physical,Favorable,Merits or injunction,Not established in sources,Organization comparator,"[""Design and components"", ""Evidence and data""]",Commercial cargo and vessel interests obtained an affirmed interlocutory liability decree concerning tugs that lacked radio receivers capable of receiving critical weather warnings.,The claimants were commercial interests; exclude this comparator from default human-case counts and do not infer a final payment.,"[{""label"": ""Primary decision"", ""url"": ""https://law.justia.com/cases/federal/appellate-courts/F2/60/737/1542549/""}]",,"No source in this reviewed set establishes completed payment, delivered services, physical release, or institutional compliance after this decision.",original,,tj_hooper,False,,,,,,,,,,
mooney,Mooney v. Holohan,Mooney,1935,1935,US,Public,The challenged detention rests on a state criminal conviction; the respondent is the public custodian.,Administrative,Adverse,Adverse,Not established in sources,Human,"[""Evidence and data"", ""Remedy access""]","The Court recognized the due-process problem alleged, but denied leave to file without prejudice because available state habeas remedies had not been pursued.",Do not count this decision as a granted writ or established factual exoneration.,"[{""label"": ""Primary opinion; pp. 110–115"", ""url"": ""https://supreme.justia.com/cases/federal/us/294/103/""}]",,No release or implementation of this habeas decision is established. The opinion separately reports an earlier death-to-life commutation; sentence mitigation is outside this dashboard’s specified release/payment/conviction-correction coverage field.,added,"Motion for leave to file an original habeas petition in the US Supreme Court, following unsuccessful federal habeas proceedings.",mooney,True,Alleged knowing use of perjury and suppression of evidence contradicting it.,Procedural refusal; favorable legal principle did not itself deliver relief.,False,Alleged; no merits fact adjudication in this disposition.,294 U.S. 103,"No computer or electrical malfunction is identified as the basis of the reviewed holding; false is a coding exclusion, not a finding about every event in the case.",Preserve both the factual challenge and a documented route through the required corrective forum.,,,
pyle,Pyle v. Kansas,Pyle,1942,1942,US,Public,The challenged detention rests on a state criminal conviction; the respondent is the public custodian.,Administrative,Favorable,Procedural or interim,Not established in sources,Human,"[""Evidence and data"", ""Remedy access"", ""Notice and hearing""]",Denial of the habeas petition was reversed and remanded because the supported constitutional allegations had not been determined.,The regular appearance of the conviction record did not refute the allegations; their truth was not decided here.,"[{""label"": ""Primary opinion; pp. 214–216"", ""url"": ""https://supreme.justia.com/cases/federal/us/317/213/""}]",,This reviewed decision does not establish completed physical release or subsequent compensation.,added,Original state habeas petition in the Kansas Supreme Court; US Supreme Court review of its denial.,pyle,True,Alleged coerced perjury and deliberate suppression of favorable testimony.,"Opportunity to prove the claim, not a Supreme Court release order.",False,Allegations supported by submitted exhibits; truth still required determination.,317 U.S. 213,"No computer or electrical malfunction is identified as the basis of the reviewed holding; false is a coding exclusion, not a finding about every event in the case.",Do not treat a facially complete record as verification of the underlying evidence.,,,
escola,Escola v. Coca Cola Bottling Co.,Escola,1944,1944,US,Private,The challenged product or information service is privately operated.,Physical,Favorable,Damages judgment,Not established in sources,Human,"[""Design and components"", ""Evidence and data"", ""Remedy access""]",The injured waitress obtained an affirmed judgment through an evidential inference of bottler negligence even though the precise mechanism of the exploding bottle was uncertain.,"Strict liability appeared in Traynor’s concurrence, not the majority holding; payment and production changes were not verified.","[{""label"": ""Primary decision"", ""url"": ""https://law.justia.com/cases/california/supreme-court/2d/24/453.html""}]",,"No source in this reviewed set establishes completed payment, delivered services, physical release, or institutional compliance after this decision.",original,,escola,True,,,,,,,,,,
bridges-wixon-1945,"Bridges v. Wixon, 326 U.S. 135",Bridges,1945,1945,US,Public,Federal immigration detention and deportation authority.,Administrative,Favorable,Merits or injunction,Not established in sources,Human,"[""Evidence and data"", ""Classification"", ""Notice and hearing"", ""Authority and rules""]",Detention held unlawful after statutory misclassification and materially improper evidence at a deportation hearing.,Not a finding that every disputed statement was false or that every evidentiary error warrants relief.,"[{""label"": ""Supreme Court opinion (1945), pp. 149–57"", ""url"": ""https://supreme.justia.com/cases/federal/us/326/135/""}]",,Judgment denying habeas reversed; subsequent physical release not verified.,added,Federal habeas challenging detention under a deportation warrant.,bridges-wixon-1945,True,"Established improper admission of unsigned, unsworn statements and overbroad affiliation classification.",Invalid detention order; consequential hearing and statutory defects.,False,Consequential evidentiary and statutory defects established by the Court; no general fabrication finding.,,,,,,
